Satellite,P Rank,Alpha Rank,Total Score
MAGION 2,1,4,5
DELTA 1 R/B,2,10,12
SL-12 R/B(AUX MOTOR),3,11,14
COSMOS 1305,4,14,18
DELTA 1 R/B(1),5,17,22
SCOUT X-4 R/B,6,18,24
DELTA 1 R/B(1),7,19,26
SL-12 R/B(AUX MOTOR),8,20,28
BLOCK DM-SL R/B,9,22,31
CZ-2C R/B,10,29,39
ATLAS CENTAUR R/B,11,31,42
ALOUETTE 2,12,34,46
GLOBALSTAR M054,16,36,52
DELTA 2 R/B(1),13,40,53
VANGUARD 1,14,41,55
INTERCOSMOS 25,15,45,60
PEGASUS R/B,17,54,71
GLOBALSTAR M030,25,46,71
SL-8 R/B,23,49,72
GLOBALSTAR M032,18,58,76
VANGUARD 3,32,47,79
GLOBALSTAR M053,20,63,83
OV3-3,19,75,94
SECOR 5 (EGRS 5),21,82,103
GLOBALSTAR M036,48,55,103
GLOBALSTAR M026,22,88,110
GLOBALSTAR M006,37,76,113
OV1-14,35,79,114
GLOBALSTAR M044,52,64,116
ATLAS CENTAUR R/B,26,91,117
GLOBALSTAR M063,53,65,118
GLOBALSTAR M025,24,95,119
RADIO ROSTO,27,93,120
SL-19 R/B,28,100,128
GLOBALSTAR M035,29,102,131
SL-12 R/B(AUX MOTOR),30,104,134
GLOBALSTAR M052,31,106,137
GLOBALSTAR M043,33,105,138
SCOUT X-1 R/B,44,101,145
DELTA 1 R/B(1),38,107,145
GLOBALSTAR M048,36,110,146
DELTA 1 R/B(1),51,96,147
MAGION 3,39,108,147
GLOBALSTAR M014,49,98,147
SL-12 R/B(2),34,113,147
GLOBALSTAR M015,45,103,148
DELTA 2 R/B,40,109,149
SL-8 R/B,60,99,159
DFH-1,47,120,167
COSMOS 2356,57,123,180
OPTUS A1 R/B(PAM-D),58,124,182
ARIANE 5 R/B,43,148,191
GLOBALSTAR M027,41,151,192
DIAMANT R/B,42,152,194
USA 16,65,131,196
GLOBALSTAR M024,46,155,201
USA 25,63,150,213
N-2 R/B(2),64,154,218
GLOBALSTAR M051,59,170,229
COSMOS 482 DESCENT CRAFT,54,179,233
GLOBALSTAR M061,68,165,233
USA 17,69,166,235
COSMOS 2392,55,180,235
ATLAS F R/B,62,175,237
SCOUT B R/B,71,168,239
GLOBALSTAR M049,50,192,242
M-4S R/B,73,181,254
DIAPASON (D1-A),66,207,273
PEGASUS R/B,56,220,276
GLOBALSTAR M047,61,219,280
EXPLORER 25 (INJUN-4),67,222,289
COSMOS 839,78,212,290
RADIO 8,79,221,300
GLOBALSTAR M002,70,231,301
COSMOS 1045,75,236,311
SL-8 R/B,76,237,313
SL-8 R/B,80,234,314
GLOBALSTAR M034,74,250,324
COSMOS 2352,72,253,325
SL-8 R/B,81,249,330
GLOBALSTAR M064,77,261,338
RADIO 3,83,263,346
EXOS D (AKEBONO),84,266,350
SL-8 R/B,85,275,360
GLOBALSTAR M046,96,264,360
SL-8 R/B,97,265,362
DELTA 1 R/B(1),86,285,371
TOPEX/POSEIDON,148,223,371
SL-8 R/B,87,294,381
COSMOS 341,153,232,385
TIROS 9,154,233,387
DELTA 2 R/B,156,235,391
GLOBALSTAR M058,82,311,393
SL-8 R/B,103,295,398
S6 MICHAEL FREILICH,158,245,403
JASON 3,159,246,405
SL-8 R/B,88,318,406
THOR DELTA 1 R/B,157,251,408
RADIO 4,95,321,416
DELTA 2 R/B(1),168,252,420
COSMOS 539,164,257,421
GLOBALSTAR M042,115,309,424
COSMOS 249,166,259,425
GLOBALSTAR M003,106,320,426
ARIANE 44L R/B,93,340,433
GLOBALSTAR M059,94,341,435
SL-8 R/B,169,273,442
GLOBALSTAR M057,119,323,442
SL-8 R/B,118,325,443
SL-8 R/B,107,336,443
OSCAR 23 (KITSAT 1),173,274,447
COSMOS 1088,123,329,452
SL-8 R/B,98,356,454
SL-8 R/B,111,344,455
GLOBALSTAR M060,109,346,455
COSMOS 444,175,281,456
GLOBALSTAR M019,110,347,457
COSMOS 90,120,342,462
GLOBALSTAR M056,101,363,464
DELTA 1 R/B(2),112,353,465
COSMOS 2353,178,288,466
COSMOS 643,171,296,467
DELTA 1 R/B(1),172,303,475
SL-8 R/B,102,378,480
TELSTAR 1,126,359,485
DELTA R/B(1),114,373,487
COSMOS 617,177,330,507
COSMOS 650,176,334,510
COSMOS 2241,134,376,510
SL-8 R/B,136,377,513
SCOUT B R/B,129,389,518
SL-6 R/B(2),130,394,524
ATLAS CENTAUR R/B,131,395,526
SL-8 R/B,135,392,527
COSMOS 375,132,398,530
RADIO 5,104,428,532
GLOBALSTAR M033,133,399,532
COSMOS 417,181,354,535
THORAD DELTA 1 R/B,138,400,538
GLOBALSTAR M045,139,401,540
SL-8 R/B,140,412,552
SL-8 R/B,141,414,555
COSMOS 87,117,439,556
COSMOS 2354,89,468,557
SL-14 R/B,90,469,559
RADIO 2,91,471,562
ST5-B,184,382,566
SL-12 R/B(2),186,386,572
GLOBALSTAR M050,105,467,572
BREEZE-KM R/B,187,390,577
RADIO 1,92,489,581
SL-8 R/B,142,440,582
GLOBALSTAR M031,121,464,585
COSMOS 2344,122,465,587
COSMOS 1326,124,466,590
COSMOS 86,145,448,593
DELTA 1 R/B,146,449,595
JASON,185,411,596
SL-8 R/B,143,458,601
SL-8 R/B,125,480,605
OV1-2,147,472,619
COSMOS 1327,144,477,621
RADIO 6,108,527,635
SL-8 R/B,127,508,635
SL-8 R/B,128,514,642
SL-8 R/B,165,483,648
GLOBALSTAR M041,99,553,652
GLOBALSTAR M029,100,556,656
GLOBALSTAR M022,113,565,678
CZ-4C R/B,195,485,680
COSMOS 337,149,532,681
SL-8 R/B,150,533,683
COSMOS 82,167,518,685
SL-8 R/B,151,534,685
COSMOS 83,152,535,687
TACSAT 4,197,498,695
SL-8 R/B,137,566,703
RADIO 7,116,591,707
DELTA 1 R/B,155,563,718
GLOBALSTAR M055,160,582,742
COSMOS 1013,170,573,743
SL-8 R/B,162,585,747
COSMOS 81,163,586,749
H-1 R/B(MABES),161,590,751
JAS 2,203,562,765
SL-8 R/B,196,572,768
JASON 2,204,564,768
COSMOS 717,174,597,771
SECOR 4 (EGRS 4),208,569,777
DELTA 1 R/B,198,580,778
YAOGAN 8,249,541,790
COSMOS 2355,221,574,795
SL-8 R/B,219,577,796
COSMOS 511,179,634,813
S80/T,229,584,813
COSMOS 2090,205,609,814
SL-8 R/B,206,610,816
OPS 3899,230,587,817
OPS 7684,207,611,818
COSMOS 1914,212,621,833
ESSA 4 (TOS-B),215,619,834
COSMOS 2254,213,623,836
SL-14 R/B,216,620,836
COSMOS 2147,214,624,838
YAOGAN 20C,263,576,839
SL-19 R/B,267,575,842
YAOGAN 20A,264,578,842
ESSA 2 (OT-2),217,628,845
COSMOS 942,180,666,846
YAOGAN 20B,268,579,847
TSX-5,265,593,858
SCOUT X-4 R/B,244,615,859
SL-14 R/B,270,589,859
COSMOS 2094,222,638,860
COSMOS 89,226,635,861
DELTA 1 R/B,223,640,863
COSMOS 1250,227,636,863
COSMOS 1823,182,682,864
SCOUT G-1 R/B,272,592,864
